year_month,year,month,weekend,is_cbd_segment,weight_distance,weight_travel_time,bus_trip_count,road_distance,avg_speed_mph
2024-05,2024,5,1,True,88384.12,14311.0834386,90538,7335.43,6.175920948207837
2024-05,2024,5,1,False,142150.478,20509.889607,135771,10196.955,6.930826090428308
2024-05,2024,5,0,True,342923.089,61356.5593487,354975,19660.848,5.589020842109291
2024-05,2024,5,0,False,527922.037,87309.5021769,521190,27765.392,6.046558780398996
2024-06,2024,6,0,False,455780.149,74191.0955605,451303,28155.041,6.143326844773827
2024-06,2024,6,0,True,295774.75,52825.0981735,306198,19864.107,5.599132992210453
2024-06,2024,6,1,False,174271.831,25303.0550594,166656,11378.323,6.887382989559539
2024-06,2024,6,1,True,106694.971,17116.5866787,110107,7751.981,6.2334256825148415
2024-07,2024,7,0,False,523811.156,83047.9654812,514741,27866.484,6.307332792138995
2024-07,2024,7,0,True,334681.018,58747.245946099996,346711,19650.382,5.696965238286514
2024-07,2024,7,1,False,149609.797,21271.5379876,142603,10214.44,7.033332384673516
2024-07,2024,7,1,True,93163.595,14636.0433466,95332,7325.2789999999995,6.36535385922058
2024-08,2024,8,0,False,487687.001,77586.454515,479767,32504.341,6.285723507390251
2024-08,2024,8,0,True,319300.896,55396.0654308,330019,21045.406,5.763963442473478
2024-08,2024,8,1,False,159249.913,22816.1088658,152158,13233.422999999999,6.97971393530236
2024-08,2024,8,1,True,99096.25,15807.2539083,101371,8281.376,6.269036391448549
2024-09,2024,9,1,True,99257.166,16455.367594800002,101465,7342.177,6.031902078648542
2024-09,2024,9,1,False,164165.401,23966.6469889,155081,10550.164999999999,6.84974419141869
2024-09,2024,9,0,True,299587.54,55313.6569852,309604,19690.599,5.416158618479322
2024-09,2024,9,0,False,466665.925,76563.3869143,459897,27854.82,6.095157800716875
2024-10,2024,10,0,False,545102.903,89230.868793,536700,27347.262,6.108905027749348
2024-10,2024,10,0,True,353538.991,63963.1308194,365575,19491.898,5.527230866766323
2024-10,2024,10,1,False,148649.047,21386.9180972,141765,10214.503999999999,6.950465996288699
2024-10,2024,10,1,True,89602.348,15022.6665714,91573,7338.851000000001,5.9644769172061665
2024-11,2024,11,0,False,491875.25,79696.9691657,483360,27729.984,6.171818767377837
2024-11,2024,11,0,True,318683.67,56317.9572844,328509,19613.616,5.658651083360137
2024-11,2024,11,1,False,164411.308,23455.5454236,156495,10221.851,7.009485604823162
2024-11,2024,11,1,True,103694.041,17022.95516,105885,7322.26,6.09142419899319
2024-12,2024,12,0,False,496218.431,78942.1252352,489136,27997.577999999998,6.285850925872186
2024-12,2024,12,0,True,318304.479,57507.592894400004,326340,19803.914,5.534999171057218
2024-12,2024,12,1,False,168570.359,23401.770234,161269,10202.872,7.203316557440909
2024-12,2024,12,1,True,102257.894,17039.6141559,104005,7329.487,6.001186004824705
2025-01,2025,1,1,False,154515.192,21574.4580301,146817,10249.404,7.161950107132486
2025-01,2025,1,1,True,97524.383,14508.3265104,99453,7457.705,6.7219594851337
2025-01,2025,1,0,False,553153.447,86953.5732142,544132,27975.081,6.361480345809032
2025-01,2025,1,0,True,362337.757,59561.8299473,374642,20042.716,6.08338859502125
2025-02,2025,2,0,False,402336.159,64647.6577539,404026,27928.704999999998,6.223522598941
2025-02,2025,2,0,True,262729.627,44295.6062388,275738,20139.95,5.931279630390662
2025-02,2025,2,1,False,118218.517,16820.9382492,116554,10214.004,7.028057249162213
